वार्ड संख्या,मतदाता,11-09 पोल,कुल गिने मत,NOTA,प्रत्याशी का नाम,लिंग,दल,चुनाव प्रतीक,भाग 1 मत,भाग 2 मत,डाक मत,कुल मत,स्थिति,जीत का अंतर
"23","744","482","482","5","निर्मला गोयल","महिला","निर्दलीय","लिफाफा","195","0","0","195","-",""
"24","813","548","548","0","रमेश कुमार राठौड","पुरुष","भारतीय जनता पार्टी","कमल","162","0","0","162","-","83"
"24","813","548","548","0","राकेश बोराणा","पुरुष","इण्डियन नेशनल कांग्रेस","हाथ","58","0","0","58","-",""
"24","813","548","548","0","गणेशमल","पुरुष","निर्दलीय","सिलाई की मशीन","245","0","0","245","विजेता (Declared)","83"
"24","813","548","548","0","संजय बोराणा","पुरुष","निर्दलीय","अलमारी","23","0","0","23","-",""
"24","813","548","548","0","हनवंत सिंह","पुरुष","निर्दलीय","सेब","7","0","0","7","-",""
"24","813","548","548","0","हरिश कुमार","पुरुष","निर्दलीय","बाल्टी","53","0","0","53","-",""
"25","776","514","514","4","नटवर लाल रामीणा","पुरुष","भारतीय जनता पार्टी","कमल","295","0","0","295","विजेता (Declared)","158"
"25","776","514","514","4","बाबुलाल","पुरुष","इण्डियन नेशनल कांग्रेस","हाथ","16","0","0","16","-",""
"25","776","514","514","4","दिनेश कुमार","पुरुष","निर्दलीय","टेलीफोन","37","0","0","37","-",""
"25","776","514","514","4","भरत कुमार","पुरुष","निर्दलीय","सेब","137","0","0","137","-",""
"25","776","514","514","4","विनोद कुमार","पुरुष","निर्दलीय","अलमारी","25","0","0","25","-",""
"26","841","0","0","0","वीणा देवड़ा","महिला","भारतीय जनता पार्टी","कमल","0","0","0","0","विजेता (Declared)","0"
"27","906","658","658","2","फुलाराम सुथार","पुरुष","भारतीय जनता पार्टी","कमल","216","0","0","216","-","62"
"27","906","658","658","2","हसमुख लाल जैन","पुरुष","इण्डियन नेशनल कांग्रेस","हाथ","3","0","0","3","-",""
"27","906","658","658","2","उत्तम कुमार","पुरुष","निर्दलीय","सिलाई की मशीन","89","0","0","89","-",""
"27","906","658","658","2","कान्ती लाल","पुरुष","निर्दलीय","अलमारी","278","0","0","278","विजेता (Declared)","62"
"27","906","658","658","2","विरेन्द्र कुमार","पुरुष","निर्दलीय","टेलीफोन","70","0","0","70","-",""
